date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:28:07	22586/22586	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Oct%202022%2020:28:06%20GMT	https://preview.colorlib.com/theme/seapalace/	C:/Benim%20Web%20Sitem/seapalace/preview.colorlib.com/theme/seapalace/index.html	(from )
00:28:08	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
00:28:08	963/963	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://preview.colorlib.com/theme/seapalace/img/xfavicon.png.pagespeed.ic.HJuMaNRYCE.png	C:/Benim%20Web%20Sitem/seapalace/preview.colorlib.com/theme/seapalace/img/xfavicon.png.pagespeed.ic.HJuMaNRYCE.png	(from https://preview.colorlib.com/theme/seapalace/)
00:28:08	33409/33409	---MCZ	200	added ('OK')	text/css	etag:W/%220%22	https://preview.colorlib.com/theme/seapalace/css/A.style.css.pagespeed.cf.w8bTtNlX0R.css	C:/Benim%20Web%20Sitem/seapalace/preview.colorlib.com/theme/seapalace/css/A.style.css.pagespeed.cf.w8bTtNlX0R.css	(from https://preview.colorlib.com/theme/seapalace/)
00:28:09	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Mon,%2031%20Oct%202022%2020:28:08%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	C:/Benim%20Web%20Sitem/seapalace/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/seapalace/)
00:28:09	228248/228248	---MCZ	200	added ('OK')	text/css	etag:W/%220%22	https://preview.colorlib.com/theme/seapalace/vendors/A.bootstrap,,_bootstrap.min.css+fontawesome,,_css,,_all.min.css+themify-icons,,_themify-icons.css+linericon,,_style.css+magnefic-popup,,_magnific-popup.css+owl-carousel,,_owl.theme.default.min.css+owl-carousel,,_owl.carousel.min.css+nice-select,,_nice-select.css,Mcc.oxKWxQTdir.css.pagespeed.cf.ZstkXDAPfT.css	C:/Benim%20Web%20Sitem/seapalace/preview.colorlib.com/theme/seapalace/vendors/A.bootstrap,,_bootstrap.min.css+fontawesome,,_css,,_all.min.css+themify-icons,,_themify-icons.css+linericon,,_style.css+magnefic-popup,,_magnific-popup.css+owl-ca	(from https://preview.colorlib.com/theme/seapalace/)
00:28:09	22586/22586	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Oct%202022%2020:28:08%20GMT	https://preview.colorlib.com/theme/seapalace/index.html	C:/Benim%20Web%20Sitem/seapalace/preview.colorlib.com/theme/seapalace/index-2.html	(from https://preview.colorlib.com/theme/seapalace/)
00:28:09	3711/3711	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Feb%202019%2022:15:31%20GMT	https://preview.colorlib.com/theme/seapalace/img/xLogo.png.pagespeed.ic.n_KYVfxlKi.png	C:/Benim%20Web%20Sitem/seapalace/preview.colorlib.com/theme/seapalace/img/xLogo.png.pagespeed.ic.n_KYVfxlKi.png	(from https://preview.colorlib.com/theme/seapalace/)
00:28:10	16216/16216	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Oct%202022%2020:28:09%20GMT	https://preview.colorlib.com/theme/seapalace/about.html	C:/Benim%20Web%20Sitem/seapalace/preview.colorlib.com/theme/seapalace/about.html	(from https://preview.colorlib.com/theme/seapalace/)
00:28:10	14492/14492	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Oct%202022%2020:28:09%20GMT	https://preview.colorlib.com/theme/seapalace/properties.html	C:/Benim%20Web%20Sitem/seapalace/preview.colorlib.com/theme/seapalace/properties.html	(from https://preview.colorlib.com/theme/seapalace/)
00:28:10	11346/11346	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Oct%202022%2020:28:09%20GMT	https://preview.colorlib.com/theme/seapalace/gallery.html	C:/Benim%20Web%20Sitem/seapalace/preview.colorlib.com/theme/seapalace/gallery.html	(from https://preview.colorlib.com/theme/seapalace/)
00:28:10	20723/20723	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Oct%202022%2020:28:09%20GMT	https://preview.colorlib.com/theme/seapalace/blog.html	C:/Benim%20Web%20Sitem/seapalace/preview.colorlib.com/theme/seapalace/blog.html	(from https://preview.colorlib.com/theme/seapalace/)
00:28:11	20990/20990	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Oct%202022%2020:28:10%20GMT	https://preview.colorlib.com/theme/seapalace/blog-single.html	C:/Benim%20Web%20Sitem/seapalace/preview.colorlib.com/theme/seapalace/blog-single.html	(from https://preview.colorlib.com/theme/seapalace/)
00:28:11	11708/11708	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Oct%202022%2020:28:10%20GMT	https://preview.colorlib.com/theme/seapalace/contact.html	C:/Benim%20Web%20Sitem/seapalace/preview.colorlib.com/theme/seapalace/contact.html	(from https://preview.colorlib.com/theme/seapalace/)
00:28:11	314376/314376	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Feb%202019%2022:17:28%20GMT	https://preview.colorlib.com/theme/seapalace/img/home/xwelcomeBanner1.png.pagespeed.ic.CdXJjom_-b.jpg	C:/Benim%20Web%20Sitem/seapalace/preview.colorlib.com/theme/seapalace/img/home/xwelcomeBanner1.png.pagespeed.ic.CdXJjom_-b.png	(from https://preview.colorlib.com/theme/seapalace/)
00:28:11	236146/236146	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Feb%202019%2022:17:35%20GMT	https://preview.colorlib.com/theme/seapalace/img/home/xwelcomeBanner2.png.pagespeed.ic.6YC9JjZSoU.jpg	C:/Benim%20Web%20Sitem/seapalace/preview.colorlib.com/theme/seapalace/img/home/xwelcomeBanner2.png.pagespeed.ic.6YC9JjZSoU.png	(from https://preview.colorlib.com/theme/seapalace/)
